0,paragraph,0
SECTION
0,emotion,0
SECTION
0,image,0
SECTION
0.000,pose,1
SECTION
0,phoneme,m
0.530,phoneme,t
0.600,phoneme,a
0.690,phoneme,t
0.820,phoneme,y
0.900,phoneme,a
0.950,phoneme,t
0.980,phoneme,a
1.040,phoneme,y
1.100,phoneme,u
1.310,phoneme,t
1.430,phoneme,u
1.540,phoneme,a
1.610,phoneme,t
1.690,phoneme,f
1.770,phoneme,a
1.820,phoneme,t
1.880,phoneme,a
1.960,phoneme,t
2.170,phoneme,a
2.280,phoneme,t
2.410,phoneme,a
2.430,phoneme,y
2.540,phoneme,a
2.620,phoneme,u
2.720,phoneme,a
2.805,phoneme,y
2.890,phoneme,t
3.020,phoneme,a
3.090,phoneme,y
3.160,phoneme,t
3.240,phoneme,a
3.340,phoneme,u
3.440,phoneme,t
3.570,phoneme,u
3.690,phoneme,a
3.800,phoneme,y
4.250,phoneme,a
4.350,phoneme,t
4.470,phoneme,a
4.530,phoneme,t
4.680,phoneme,a
4.760,phoneme,t
4.880,phoneme,a
4.940,phoneme,t
5.010,phoneme,f
5.070,phoneme,a
5.130,phoneme,u
5.170,phoneme,a
5.240,phoneme,m
5.320,phoneme,a
5.355,phoneme,y
5.390,phoneme,t
5.460,phoneme,a
5.495,phoneme,y
5.530,phoneme,a
5.580,phoneme,t
5.620,phoneme,m
5.680,phoneme,a
5.750,phoneme,m
5.800,phoneme,y
5.850,phoneme,a
5.910,phoneme,t
6.010,phoneme,a
6.060,phoneme,y
6.110,phoneme,t
6.220,phoneme,a
6.280,phoneme,t
8.060,phoneme,a
8.150,phoneme,t
8.220,phoneme,u
8.260,phoneme,a
8.330,phoneme,t
8.430,phoneme,a
8.500,phoneme,t
8.560,phoneme,m
8.630,phoneme,a
8.690,phoneme,u
8.750,phoneme,t
8.910,phoneme,a
9.000,phoneme,f
9.110,phoneme,t
9.170,phoneme,u
9.250,phoneme,a
9.310,phoneme,m
9.380,phoneme,u
9.450,phoneme,t
9.630,phoneme,a
9.710,phoneme,y
9.810,phoneme,u
10.280,phoneme,a
10.360,phoneme,t
10.440,phoneme,u
10.460,phoneme,a
10.520,phoneme,t
10.600,phoneme,a
10.645,phoneme,y
10.690,phoneme,f
10.740,phoneme,a
10.790,phoneme,t
10.880,phoneme,a
11.000,phoneme,t
11.060,phoneme,f
11.120,phoneme,u
11.170,phoneme,t
11.250,phoneme,a
11.335,phoneme,y
11.420,phoneme,t
